SampleID,labelID,rep,HF,Depth,WHC,inoculant_added_g,stir,sample_mass_g,KOH_concentration_M,KOH_volume_mL,start_date,start_time,end_time,EC_raw_ms/cm,EC_final_12wk_ms/cm,T,EC_sat_ms/cm,C-CO2_g,note,
1,46,2,High,Surface,55%,2.05,y,15,0.05,15,2/21/23,12:16,,10.62416667,4.806,,5.4596,0.005074143,a. record the time,
2,47,2,High,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.913,,5.4596,0.000620223,b. add inoculant,
3,48,2,High,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.829,23.5,5.4596,0.000693481,c. stir the sample with a bar,
4,49,2,High,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.768,,5.4596,0.000746681,d. place the sample vial in,
5,50,2,High,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.777,23.7,5.4596,0.000738832,e. add 5ml water,
6,51,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.841,23.2,5.4596,0.000683016,"f. pump 1 vial KOH, place in",
7,52,2,High,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.787,23.6,5.4596,0.00073011,g. screw the cap tight,
8,53,2,High,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.761,23.3,5.4596,0.000752785,each end time is when I put the batch of jars in the incubator,
9,54,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.722,,5.4596,0.000786798,we need to make 2L 0.05M KOH!!! And 3L CO2 free water for the KOH and incubation!!!!,
10,55,2,High,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.773,,5.4596,0.00074232,have a lot of KOH in the bottle can avoid bubble up,
11,56,2,High,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.586,23,5.4596,0.000905407,,
12,57,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.541,,5.4596,0.000944652,,
13,58,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.532,23.1,5.4596,0.000952501,,
14,59,2,High,5 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.595,22.7,5.4596,0.000897557,,
15,60,2,High,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.567,22.6,5.4596,0.000921977,,
B1-2,B1-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,12;47,10.62416667,9.811,22.4,5.4596,0.000709179,,
16,61,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,12:54,,10.62416667,9.94,23.9,5.4596,0.000596676,,
17,62,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.819,24,5.4596,0.000702202,,
18,63,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.806,,5.4596,0.00071354,,
19,64,2,Low,Surface,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.842,23.5,5.4596,0.000682144,,
20,65,2,Low,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.82,23.6,5.4596,0.00070133,,
21,66,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.55,23.7,5.4596,0.000936803,,
22,67,2,Low,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.589,,5.4596,0.00090279,,
23,68,2,Low,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.499,23.8,5.4596,0.000981281,,
24,69,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.759,23.7,5.4596,0.00075453,,
25,70,2,Low,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.609,23.5,5.4596,0.000885348,,
26,71,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.592,23.4,5.4596,0.000900174,,
27,72,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.626,23.2,5.4596,0.000870522,,
28,73,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.526,23.5,5.4596,0.000957734,,
29,74,2,Low,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.619,23.1,5.4596,0.000876627,,
30,75,2,Low,5 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.598,,5.4596,0.000894941,,
B2-2,B2-2,2,blank sand,,55%,2.05,y,15.01,0.05,15,2/21/23,,1:24,10.62416667,9.802,23.3,5.4596,0.000717028,,
31,76,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,1:32,,10.62416667,9.668,23.9,5.4596,0.000833893,,
32,77,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.63,,5.4596,0.000867033,,
33,78,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.602,23.8,5.4596,0.000891453,,
34,79,2,Control,Surface,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.616,24,5.4596,0.000879243,,
35,80,2,Control,Surface,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.626,23.6,5.4596,0.000870522,,
36,81,2,Control,1 cm,55%,2.05,y,14.99,0.05,15,2/21/23,,,10.62416667,9.641,23.5,5.4596,0.00085744,,
37,82,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.595,23.6,5.4596,0.000897557,,
38,83,2,Control,1 cm,55%,2.05,y,15.01,0.05,15,2/21/23,,,10.62416667,9.656,23.8,5.4596,0.000844358,,
39,84,2,Control,1 cm,55%,2.05,y,15.02,0.05,15,2/21/23,,,10.62416667,9.615,23.6,5.4596,0.000880115,,
40,85,2,Control,1 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.708,23.4,5.4596,0.000799008,,
41,86,2,Control,5 cm,55%,2.05,y,15,0.05,15,2/21/23,,,10.62416667,9.665,,5.4596,0.000836509,,
